,thermo(ns),extended_thiswork,refined_thiswork,extended_martyna,refined_nve
1,6E-05,2.80E-08,5.13E-06,-9.94E-07,-7.46E-08
2,6E-05,-4.94E-07,-2.58E-06,5.71E-06,5.57E-07
3,6E-05,-1.94E-06,4.36E-06,1.66E-05,-3.02E-07
4,6E-05,4.89E-07,-6.33E-06,6.64E-05,5.11E-06
5,6E-05,7.60E-05,-1.30E-06,1.97E-04,6.31E-05
6,6E-05,2.63E-03,-2.07E-07,3.64E-03,3.61E-03
7,6.3E-05,5.52E-02,1.37E-06,6.19E-02,10000
8,6.4E-05,0.62945772594621,4.86E-06,0.678417791826768,10000
9,6.3E-05,4.50344778171864,-1.59E-06,4.70959203492283,10000
10,6E-05,19.4792556850312,-1.91E-06,20.0672101227788,10000
